0:00 - 00:15,00:15 - 00:30,00:30 - 00:45,00:45 - 01:00,1:00 - 01:15,01:15 - 01:30,01:30 - 01:45,01:45 - 02:00,02:00 - 02:15,02:15 - 02:30,02:30 - 02:45,02:45 - 03:00,03:00 - 03:15,03:15 - 03:30,03:30 - 03:45,03:45 - 04:00,04:00 - 04:15,04:15 - 04:30,04:30 - 04:45,04:45 - 05:00,05:00 - 05:15,05:15 - 05:30,05:30 - 05:45,05:45 - 06:00,06:00 - 06:15,06:15 - 06:30,06:30 - 06:45,06:45 - 07:00,07:00 - 07:15,07:15 - 07:30,07:30 - 07:45,07:45 - 08:00,08:00 - 08:15,08:15 - 08:30,08:30 - 08:45,08:45 - 09:00,09:00 - 09:15,09:15 - 09:30,09:30 - 09:45,09:45 - 10:00,10:00 - 10:15,10:15 - 10:30,10:30 - 10:45,10:45 - 11:00,11:00 - 11:15,11:15 - 11:30,11:30 - 11:45,11:45 - 12:00,0:00 - 00:15,00:15 - 00:30,00:30 - 00:45,00:45 - 01:00,1:00 - 01:15,01:15 - 01:30,01:30 - 01:45,01:45 - 02:00,02:00 - 02:15,02:15 - 02:30,02:30 - 02:45,02:45 - 03:00,03:00 - 03:15,03:15 - 03:30,03:30 - 03:45,03:45 - 04:00,04:00 - 04:15,04:15 - 04:30,04:30 - 04:45,04:45 - 05:00,05:00 - 05:15,05:15 - 05:30,05:30 - 05:45,05:45 - 06:00,06:00 - 06:15,06:15 - 06:30,06:30 - 06:45,06:45 - 07:00,07:00 - 07:15,07:15 - 07:30,07:30 - 07:45,07:45 - 08:00,08:00 - 08:15,08:15 - 08:30,08:30 - 08:45,08:45 - 09:00,09:00 - 09:15,09:15 - 09:30,09:30 - 09:45,09:45 - 10:00,10:00 - 10:15,10:15 - 10:30,10:30 - 10:45,10:45 - 11:00,11:00 - 11:15,11:15 - 11:30,11:30 - 11:45,11:45 - 12:00
122,120,118,113,110,107,102,95,89,86,87,93,99,106,113,117,122,125,128,134,140,149,159,167,173,176,178,180,181,182,186,192,201,211,219,223,230,237,245,254,256,250,235,206,179,155,138,130,118,108,97,85,72,63,56,53,55,55,54,54,58,62,68,72,70,69,68,67,66,67,65,67,69,70,72,70,69,68,70,74,76,80,82,84,91,95,97,99,99,100,104,108,111,114,112,NAN
115,118,119,116,110,106,117,118,111,101,80,71,69,65,57,49,43,39,36,35,32,30,32,34,42,53,64,73,75,73,67,59,51,48,48,50,52,51,49,46,45,44,42,41,39,39,40,43,47,49,52,54,55,57,59,60,60,58,56,57,59,59,61,62,61,61,60,60,60,61,62,61,61,60,61,62,71,90,95,92,79,56,47,42,41,40,41,47,57,67,72,75,72,67,66,NAN
59,56,53,52,55,56,56,55,52,51,52,52,53,54,52,51,49,46,46,46,48,54,58,62,74,76,75,75,66,64,65,67,68,67,67,65,63,61,56,51,46,42,42,42,42,42,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,13,17,26,34,36,37,38,40,40,41,43,45,47,49,49,50,51,52,51,52,52,53,55,56,56,59,62,66,72,77,82,85,88,89,86,80,72,62,54,48,43,NAN
39,39,39,38,38,39,39,38,38,38,38,38,39,37,36,35,34,35,37,38,38,39,41,42,45,47,48,48,47,44,44,45,48,50,52,55,55,55,54,53,52,50,50,50,48,47,45,44,46,47,48,49,50,49,47,46,44,44,46,48,49,49,47,46,46,47,48,47,46,44,45,45,44,44,42,42,44,46,47,50,53,57,61,63,66,68,71,76,83,90,97,102,107,109,107,NAN
100,99,103,103,103,100,93,89,86,84,83,85,85,84,87,91,95,97,92,83,75,69,65,63,62,63,66,72,79,86,93,100,106,111,113,113,111,105,96,87,81,77,74,68,60,54,51,52,53,54,55,55,55,55,55,55,54,55,54,53,52,52,53,55,55,55,54,52,52,52,50,48,48,48,50,50,51,50,51,54,59,65,68,69,67,64,61,61,58,57,57,55,54,51,48,NAN
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
