CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Tuesday, Jul 23 2019",,
Time: 09:48:01 PM,,
State,Delhi,
City,Delhi,
Station,"R K Puram, Delhi - DPCC",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,22-07-2019T00:00:00Z 00:00,
To,23-07-2019T21:44:59Z 00:00,
,,
"R K Puram, Delhi - DPCC",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
23-07-2019 06:30,23-07-2019 06:45,66
23-07-2019 06:45,23-07-2019 07:00,72
23-07-2019 07:00,23-07-2019 07:15,72
23-07-2019 07:15,23-07-2019 07:30,72
23-07-2019 07:30,23-07-2019 07:45,72
23-07-2019 07:45,23-07-2019 08:00,48
23-07-2019 08:00,23-07-2019 08:15,48
23-07-2019 08:15,23-07-2019 08:30,48
23-07-2019 08:30,23-07-2019 08:45,48
23-07-2019 08:45,23-07-2019 09:00,41
23-07-2019 09:00,23-07-2019 09:15,41
23-07-2019 09:15,23-07-2019 09:30,41
23-07-2019 09:30,23-07-2019 09:45,41
23-07-2019 09:45,23-07-2019 10:00,41
23-07-2019 10:00,23-07-2019 10:15,41
23-07-2019 10:15,23-07-2019 10:30,41
23-07-2019 10:30,23-07-2019 10:45,41
23-07-2019 10:45,23-07-2019 11:00,58
23-07-2019 11:00,23-07-2019 11:15,58
23-07-2019 11:15,23-07-2019 11:30,58
23-07-2019 11:30,23-07-2019 11:45,58
23-07-2019 11:45,23-07-2019 12:00,80
23-07-2019 12:00,23-07-2019 12:15,80
23-07-2019 12:15,23-07-2019 12:30,80
23-07-2019 12:30,23-07-2019 12:45,80
23-07-2019 12:45,23-07-2019 13:00,59
23-07-2019 13:00,23-07-2019 13:15,59
23-07-2019 13:15,23-07-2019 13:30,59
23-07-2019 13:30,23-07-2019 13:45,59
23-07-2019 13:45,23-07-2019 14:00,47
23-07-2019 14:00,23-07-2019 14:15,47
23-07-2019 14:15,23-07-2019 14:30,47
23-07-2019 14:30,23-07-2019 14:45,47
23-07-2019 14:45,23-07-2019 15:00,80
23-07-2019 15:00,23-07-2019 15:15,80
23-07-2019 15:15,23-07-2019 15:30,80
23-07-2019 15:30,23-07-2019 15:45,80
23-07-2019 15:45,23-07-2019 16:00,42
23-07-2019 16:00,23-07-2019 16:15,42
23-07-2019 16:15,23-07-2019 16:30,42
23-07-2019 16:30,23-07-2019 16:45,42
23-07-2019 16:45,23-07-2019 17:00,44
23-07-2019 17:00,23-07-2019 17:15,44
23-07-2019 17:15,23-07-2019 17:30,44
23-07-2019 17:30,23-07-2019 17:45,44
23-07-2019 17:45,23-07-2019 18:00,38
23-07-2019 18:00,23-07-2019 18:15,38
23-07-2019 18:15,23-07-2019 18:30,38
23-07-2019 18:30,23-07-2019 18:45,38
23-07-2019 18:45,23-07-2019 19:00,47
23-07-2019 19:00,23-07-2019 19:15,47
23-07-2019 19:15,23-07-2019 19:30,47
23-07-2019 19:30,23-07-2019 19:45,47
23-07-2019 19:45,23-07-2019 20:00,95
23-07-2019 20:00,23-07-2019 20:15,95
23-07-2019 20:15,23-07-2019 20:30,95
23-07-2019 20:30,23-07-2019 20:45,95
23-07-2019 20:45,23-07-2019 21:00,None
23-07-2019 21:00,23-07-2019 21:15,None
23-07-2019 21:15,23-07-2019 21:30,None
23-07-2019 21:30,23-07-2019 21:44,None
