CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Tuesday, Jul 09 2019",,
Time: 09:58:04 AM,,
State,Delhi,
City,Delhi,
Station,"DTU, Delhi - CPCB",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,01-07-2019T00:00:00Z 00:00,
To,09-07-2019T09:57:59Z 00:00,
,,
"DTU, Delhi - CPCB",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
01-07-2019 15:45,01-07-2019 16:00,62.52
01-07-2019 16:00,01-07-2019 16:15,63.09
01-07-2019 16:15,01-07-2019 16:30,63.17
01-07-2019 16:30,01-07-2019 16:45,63.17
01-07-2019 16:45,01-07-2019 17:00,63.17
01-07-2019 17:00,01-07-2019 17:15,57.94
01-07-2019 17:15,01-07-2019 17:30,57.25
01-07-2019 17:30,01-07-2019 17:45,57.25
01-07-2019 17:45,01-07-2019 18:00,57.25
01-07-2019 18:00,01-07-2019 18:15,57.24
01-07-2019 18:15,01-07-2019 18:30,57.24
01-07-2019 18:30,01-07-2019 18:45,57.24
01-07-2019 18:45,01-07-2019 19:00,57.24
01-07-2019 19:00,01-07-2019 19:15,59.05
01-07-2019 19:15,01-07-2019 19:30,59.29
01-07-2019 19:30,01-07-2019 19:45,59.29
01-07-2019 19:45,01-07-2019 20:00,59.29
01-07-2019 20:00,01-07-2019 20:15,60.94
01-07-2019 20:15,01-07-2019 20:30,61.16
01-07-2019 20:30,01-07-2019 20:45,61.16
01-07-2019 20:45,01-07-2019 21:00,61.16
01-07-2019 21:00,01-07-2019 21:15,65.33
01-07-2019 21:15,01-07-2019 21:30,65.87
01-07-2019 21:30,01-07-2019 21:45,65.87
01-07-2019 21:45,01-07-2019 22:00,65.87
01-07-2019 22:00,01-07-2019 22:15,44.94
01-07-2019 22:15,01-07-2019 22:30,42.19
01-07-2019 22:30,01-07-2019 22:45,42.19
01-07-2019 22:45,01-07-2019 23:00,42.19
01-07-2019 23:00,01-07-2019 23:15,38.78
01-07-2019 23:15,01-07-2019 23:30,38.33
01-07-2019 23:30,01-07-2019 23:45,38.33
01-07-2019 23:45,02-07-2019 00:00,None
02-07-2019 00:00,02-07-2019 00:15,41.44
02-07-2019 00:15,02-07-2019 00:30,41.85
02-07-2019 00:30,02-07-2019 00:45,41.85
02-07-2019 00:45,02-07-2019 01:00,41.85
02-07-2019 01:00,02-07-2019 01:15,54.48
02-07-2019 01:15,02-07-2019 01:30,56.14
02-07-2019 01:30,02-07-2019 01:45,56.14
02-07-2019 01:45,02-07-2019 02:00,56.14
02-07-2019 02:00,02-07-2019 02:15,59.46
02-07-2019 02:15,02-07-2019 02:30,59.9
02-07-2019 02:30,02-07-2019 02:45,59.9
