CENTRAL POLLUTION CONTROL BOARD,,,
CONTINUOUS AMBIENT AIR QUALITY,,,
"Date: Monday, Jun 24 2019",,,
Time: 09:33:27 AM,,,
State,Delhi,,
City,Delhi,,
Station,"ITO, Delhi - CPCB",,
Parameter,"PM2.5,PM10,RH",,
AvgPeriod,15 Minute,,
From,11-06-2019T00:00:00Z 00:00,,
To,17-06-2019T00:00:59Z 00:00,,
,,,
"ITO, Delhi - CPCB",,,
Prescribed Standards, ,0-60,0-100
Exceeding Standards, ,NA,NA
Remarks,,,
From Date,To Date,PM2.5,PM10
15-06-2019 21:15,15-06-2019 21:30,64,253
15-06-2019 21:30,15-06-2019 21:45,61,242
15-06-2019 21:45,15-06-2019 22:00,61,225
15-06-2019 22:00,15-06-2019 22:15,58,211
15-06-2019 22:15,15-06-2019 22:30,57,199
15-06-2019 22:30,15-06-2019 22:45,57,191
15-06-2019 22:45,15-06-2019 23:00,55,184
15-06-2019 23:00,15-06-2019 23:15,54,177
15-06-2019 23:15,15-06-2019 23:30,51,171
15-06-2019 23:30,15-06-2019 23:45,48,168
15-06-2019 23:45,16-06-2019 00:00,NAN,NAN
16-06-2019 00:00,16-06-2019 00:15,48,170
16-06-2019 00:15,16-06-2019 00:30,50,173
16-06-2019 00:30,16-06-2019 00:45,51,179
16-06-2019 00:45,16-06-2019 01:00,51,196
16-06-2019 01:00,16-06-2019 01:15,51,229
16-06-2019 01:15,16-06-2019 01:30,50,267
16-06-2019 01:30,16-06-2019 01:45,51,298
16-06-2019 01:45,16-06-2019 02:00,51,301
16-06-2019 02:00,16-06-2019 02:15,52,287
16-06-2019 02:15,16-06-2019 02:30,53,275
16-06-2019 02:30,16-06-2019 02:45,54,273
16-06-2019 02:45,16-06-2019 03:00,53,282
16-06-2019 03:00,16-06-2019 03:15,51,271
16-06-2019 03:15,16-06-2019 03:30,46,236
16-06-2019 03:30,16-06-2019 03:45,39,185
16-06-2019 03:45,16-06-2019 04:00,35,133
16-06-2019 04:00,16-06-2019 04:15,32,102
16-06-2019 04:15,16-06-2019 04:30,31,87
16-06-2019 04:30,16-06-2019 04:45,33,81
16-06-2019 04:45,16-06-2019 05:00,32,75
16-06-2019 05:00,16-06-2019 05:15,30,68
16-06-2019 05:15,16-06-2019 05:30,28,62
16-06-2019 05:30,16-06-2019 05:45,25,55
16-06-2019 05:45,16-06-2019 06:00,23,49
16-06-2019 06:00,16-06-2019 06:15,22,47
16-06-2019 06:15,16-06-2019 06:30,21,47
16-06-2019 06:30,16-06-2019 06:45,21,47
16-06-2019 06:45,16-06-2019 07:00,23,51
16-06-2019 07:00,16-06-2019 07:15,26,56
16-06-2019 07:15,16-06-2019 07:30,28,60
16-06-2019 07:30,16-06-2019 07:45,30,66
16-06-2019 07:45,16-06-2019 08:00,31,72
16-06-2019 08:00,16-06-2019 08:15,32,80
16-06-2019 08:15,16-06-2019 08:30,33,89
16-06-2019 08:30,16-06-2019 08:45,33,98
16-06-2019 08:45,16-06-2019 09:00,34,105
16-06-2019 09:00,16-06-2019 09:15,34,106
16-06-2019 09:15,16-06-2019 09:30,35,106
16-06-2019 09:30,16-06-2019 09:45,38,129
16-06-2019 09:45,16-06-2019 10:00,36,157
16-06-2019 10:00,16-06-2019 10:15,32,163
16-06-2019 10:15,16-06-2019 10:30,29,156
16-06-2019 10:30,16-06-2019 10:45,24,122
16-06-2019 10:45,16-06-2019 11:00,21,81
16-06-2019 11:00,16-06-2019 11:15,21,66
16-06-2019 11:15,16-06-2019 11:30,22,64
16-06-2019 11:30,16-06-2019 11:45,23,64
16-06-2019 11:45,16-06-2019 12:00,24,65
16-06-2019 12:00,16-06-2019 12:15,27,66
16-06-2019 12:15,16-06-2019 12:30,28,68
16-06-2019 12:30,16-06-2019 12:45,28,70
16-06-2019 12:45,16-06-2019 13:00,28,71
16-06-2019 13:00,16-06-2019 13:15,26,68
16-06-2019 13:15,16-06-2019 13:30,27,68
16-06-2019 13:30,16-06-2019 13:45,28,67
16-06-2019 13:45,16-06-2019 14:00,28,68
16-06-2019 14:00,16-06-2019 14:15,29,69
16-06-2019 14:15,16-06-2019 14:30,28,68
16-06-2019 14:30,16-06-2019 14:45,28,69
16-06-2019 14:45,16-06-2019 15:00,29,71
16-06-2019 15:00,16-06-2019 15:15,30,75
16-06-2019 15:15,16-06-2019 15:30,32,81
16-06-2019 15:30,16-06-2019 15:45,31,84
16-06-2019 15:45,16-06-2019 16:00,29,83
16-06-2019 16:00,16-06-2019 16:15,28,83
16-06-2019 16:15,16-06-2019 16:30,25,77
16-06-2019 16:30,16-06-2019 16:45,23,72
16-06-2019 16:45,16-06-2019 17:00,23,74
16-06-2019 17:00,16-06-2019 17:15,22,75
16-06-2019 17:15,16-06-2019 17:30,24,78
16-06-2019 17:30,16-06-2019 17:45,26,82
16-06-2019 17:45,16-06-2019 18:00,28,83
16-06-2019 18:00,16-06-2019 18:15,30,84
16-06-2019 18:15,16-06-2019 18:30,30,88
16-06-2019 18:30,16-06-2019 18:45,32,99
16-06-2019 18:45,16-06-2019 19:00,32,114
16-06-2019 19:00,16-06-2019 19:15,33,135
16-06-2019 19:15,16-06-2019 19:30,35,156
16-06-2019 19:30,16-06-2019 19:45,38,173
16-06-2019 19:45,16-06-2019 20:00,41,186
16-06-2019 20:00,16-06-2019 20:15,41,185
16-06-2019 20:15,16-06-2019 20:30,37,162
16-06-2019 20:30,16-06-2019 20:45,32,135
16-06-2019 20:45,16-06-2019 21:00,29,108
16-06-2019 21:00,16-06-2019 21:15,28,90
16-06-2019 21:15,16-06-2019 21:30,30,88
16-06-2019 21:30,16-06-2019 21:45,30,87
16-06-2019 21:45,16-06-2019 22:00,30,85
16-06-2019 22:00,16-06-2019 22:15,29,87
16-06-2019 22:15,16-06-2019 22:30,30,90
16-06-2019 22:30,16-06-2019 22:45,30,92
16-06-2019 22:45,16-06-2019 23:00,31,94
16-06-2019 23:00,16-06-2019 23:15,30,92
16-06-2019 23:15,16-06-2019 23:30,30,90
16-06-2019 23:30,16-06-2019 23:45,29,88
16-06-2019 23:45,17-06-2019 00:00,NAN,NAN
17-06-2019 00:00,17-06-2019 00:00,31,94
