0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
213.43,176.56,170.81,148.66,132.95,128.43,113.92,97,99.76,95.15,84.79,98.29,100.29,97.56,113.5,100.66,101.32,96.18,114.03,137.94,149.62,191.53,183.6,168.12
138.58,119.74,126.7,112.89,82.08,84.37,88.12,78.48,76.28,69.72,78.85,87.86,94.14,99.34,86.29,68.12,53.02,58.11,80.57,121.56,174.06,205.98,254.67,294.51
315.94,300.28,298.54,270.63,246.79,267.62,278.06,272.62,284.64,263.37,222.04,200.74,167.62,124.99,117,122.41,106.24,97.74,112.38,114.31,135.7,167.49,182.1,180.28
172.3,167.93,173.41,163.86,167.74,162.11,153.03,156.27,154.17,132.52,128.59,119.57,45.92,51.67,64.99,77.82,109.91,85.83,75.72,64.98,74.16,119.39,133.03,121.47
106.7,101.46,89.74,74.64,68.65,57.44,63.81,81.88,73.85,69.12,56.92,54.22,54.03,51.29,48.28,95.1,79.22,50.62,44.66,54.64,47.59,48.78,66.17,71.41
69.14,47.53,51.66,45.58,48.99,40.19,36.78,43.83,46.58,73.14,102.77,108.13,88.52,61.73,51,47.47,46.39,45.05,91.29,100.53,75.25,82.34,97.37,95.79
97.92,97.58,78.96,72.3,66.5,64.75,63.45,68.38,76.91,101.7,84.28,80.04,71.97,51.81,49.85,69.55,79.56,74.69,72.55,58.44,48.2,122.04,181.55,229.5
317.84,288.13,264.68,225.72,192.87,164.31,144.06,145.86,154.3,181.99,126.88,108.73,116.03,131.07,129.41,89.05,63.66,68.08,84.25,93.61,116.72,133.75,143.49,175.31
272.91,288.56,289.95,269.39,267.86,268.13,262.08,247.98,252.42,270.53,285.8,252.5,206.76,143.92,88.66,66.65,55.19,52.73,81.44,103.35,117.57,145.78,218.16,238.34
277.23,283.65,281.83,272.83,263.11,259.42,259.08,239.21,241.37,160.54,154.39,163.77,141.03,112.44,101.33,103.48,106.72,115.57,117.18,123.44,138.62,160.97,148.63,164.92
197.15,172.01,160.74,163.61,162.32,142.01,159.32,172.61,169.1,192.68,180.23,168.23,130.2,112.66,102.81,89.25,78.73,95.12,103.13,115.73,108.6,115.07,152.08,175.49
186.26,177.84,171.93,157.36,135.74,121.99,133.89,138.74,109.81,114.48,130.16,110.73,109.46,104,101.38,100.59,92.45,95.97,91.96,88.19,89.06,100.25,109.32,104.17
97.18,87.48,77.11,71.41,60.24,66.17,66.27,51.74,105.77,100.71,76.73,114.47,110.64,81.97,95.8,100.75,128.43,138.83,126.33,123.13,137.01,118.94,94.77,99.92
150.61,137.25,126.01,97.62,91,116.44,101.64,102.56,81.08,65.56,84.5,89.42,97.67,128.57,118.78,93.36,86.99,None,None,None,None,None,None,197.01
206.29,191,182.15,171.45,158.01,128.55,None,None,None,None,None,None,None,None,None,None,None,None,None,0,96.41,96.41,128.55,128.55
128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,128.55,132.81,119.67,64.62,77.02,86.04,82.57
95.33,110.12,95.75,90.62,84.88,78.99,81.5,89.83,74.16,85.77,112.31,111.97,95.21,93.99,88.65,98.86,95.39,89.22,90.28,89.93,103.41,136.32,169.8,185
