0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
68.75,61.25,55,54.75,48.75,47.75,63.25,88,130.25,130.25,148.5,120.5,97.5,62.5,59,50,39,35.5,38.75,58.25,77.25,77.75,84.25,88.5
80.5,71.75,65.75,68.75,67.25,66.5,69.25,72.75,82,84.75,80,71.25,62.5,61,55,51,43.75,39.75,55.25,75,116.75,159,162.75,162.25
174.5,176,161,160,126.25,142,159,170.5,186.75,201,170,133,93.75,80,80.5,71.25,62.5,80,100.25,116,144.5,177.25,187.75,209.5
234.5,212.75,210.5,231.25,210.75,207.5,210.25,210,234.25,271.75,179.25,143.5,137,118,107,107.25,126,139.25,145,144,167.5,228,271.5,323
283.5,246.75,245.25,236.75,243.75,242.75,244,255.5,271.5,275.75,183.75,41,0,38.5,160.75,186,193.75,190.5,193.75,232.75,272.5,304.5,245.25,219
249.25,248.5,230.25,235.25,235,241.5,248,277,262.25,259.75,242,219.75,177,138.5,134.75,131.75,131,165.25,177.25,178,198.5,226,243.5,241.75
228.75,212.25,194.25,181.5,168.25,160,173.25,210.75,214.25,174.25,176.5,176.5,172.75,143.75,122.5,107,100.75,112.5,117.5,128,128.25,122.75,110.25,108.5
110.75,99.25,102,103.5,86.25,90.25,108.25,107.75,145.5,216.25,207.75,206.5,220.25,198.75,93,194.5,211.25,158.5,141.5,148.5,144.75,129,133,134.75
146.75,146.25,120.5,103.75,102.75,114.75,125,126.25,130,133,140.25,144.5,128.75,124.25,112.75,97.5,91.25,89.5,93.25,102.25,110.25,117.5,125.75,116.5
119,112.75,104.5,92,85,85,86.75,83,82.25,101.5,106.75,103.25,87.5,90.75,72.5,73,74,66,68.5,89.75,111.75,123.5,172.75,207.5
205.25,190,175.75,148,69.75,109.75,92,111.5,97.5,114.25,118.75,89.75,70.5,79.25,63.5,58.25,57,58.5,61.25,84,96.75,97.5,101.25,101.25
92.75,96.75,101.75,101.5,100.25,98.5,91.5,115.25,121.5,124.75,127.75,139.5,135.25,128.5,133.25,142.5,156.5,180.75,206.75,222.75,257.75,301.75,302.5,270.75
240,212.25,196.25,192.5,196,170,159,152.5,97,75.25,72,62.5,49,39,44.25,54.25,45.75,35.75,41,47,62.25,45.75,49,55.25
70.25,64,72,68.25,67.5,106.5,148.5,93,97,83.25,58.5,48.75,37.5,36.25,39.75,44.5,52.5,58.25,64,77,109.25,121.75,141.25,142.25
150.5,146.5,137,114.25,124.75,111.25,100.5,87.25,81,87.5,84.25,79.5,72.25,63.25,53.5,50.25,24.75,18.5,32.5,38,51.5,59.75,55.25,57
53.25,55,54.75,64,63.25,57.5,63.5,69.25,74,64.75,48.25,38,29.5,24.5,25.75,21,34,33.5,38.5,62,88.25,79.75,76,77.75
94.75,107,121.5,110.75,98.75,89.25,94.5,108.75,99.75,101.25,75.75,73.5,74,80.75,62.75,51.25,38,45.75,48.75,71.5,128.5,143,127.25,126.5
109.75,97.5,101.75,113,116.25,132.75,140.75,161,209.25,200.75,134.75,73.25,76.75,79,87,193.75,55.75,99.25,58,155.5,42.5,37.25,44.25,91
77.25,69,72,76.25,25.75,59.5,76.5,92,108.75,108.75,74.75,81.25,95.75,79.5,71.25,117.25,110,110,NAN,16,38.25,58.5,37.75,35.75
39.5,29.5,27,32,37.75,54.25,59.5,56.5,55.5,69.25,66.5,53,42.25,40.5,35.5,38.25,31.75,23,28,41,58.25,65.75,94,101
98.5,97.5,97.25,106,96.5,89.5,111.75,150.75,250.5,248.5,125.75,69.25,85.5,52.25,55.5,37.25,37.75,38.25,45.25,54.5,74,84.5,120.5,129.5
129.25,135.75,115,92,108,112,97.75,125.75,178.25,157.5,97.75,76.25,80,51.25,36,34.5,31.25,33.5,32.75,50.75,69.5,108.5,132.5,137.25
108.5,75.25,79.5,85.25,88,92.25,97.25,117,131.25,136.75,192.5,191.25,174.75,150.25,93,60,62,54.75,58.75,64.25,64.5,41,53.25,64.75
83,93.75,78.25,59.25,61,69,78,69.5,69.5,59,52.25,50.75,40.25,45.5,50.5,44.75,55.75,63.5,63.25,72.5,99,102.5,112,134.25
132.25,163,234,277.75,284.5,263.5,195.25,173.25,164,158.25,126.75,110.5,92.5,103.5,88.25,73.25,61.5,59,62.25,61.75,61.25,75,73.25,52.25
47,53,74.75,76.75,74.5,76,77,92.5,105.75,115.75,103.5,76.75,69.75,46,46.25,35.75,37,34,40.75,50.25,63.5,81.5,98,102.5
94.25,89.75,95.75,93.5,100,119.25,135.25,138,156.5,150,102.5,98.75,63,47.75,34.5,19,14.25,33,35,39.75,73.5,98.5,114,129
139.25,134.5,141.5,136.25,121.75,121.5,174,198,211,171,128.75,91.75,91.5,71.5,60.75,25.5,34.75,40.5,49,46.5,76.25,86,72,98.25
118.75,162,109.75,99.5,79,106.75,102,121,137.5,82.5,75.75,78.25,77.25,84.5,78.75,50.75,43,53.5,48.75,68.25,81.25,93.25,104,80.25
86,90,90.75,91.25,96.25,116.25,117.75,104,112.5,99.5,80.25,66.5,61.75,43.5,43.5,34,38.75,40.75,46.25,48.75,51.75,61.75,72.25,77
83,78,84.75,98.5,99.75,93.5,76,113.5,102.25,93.5,88,81.25,55.25,69.25,53,30.75,43,43,43,43,43,43,43,43
43,43,43,43,43,43,43,43,43,43,65.75,96.75,73,NAN,20.5,45.25,49.25,49.5,50.5,62,59.5,69.5,101.25,114.75
91.5,64.5,51.25,53.25,56.25,55.25,56.75,69.75,75.25,73,56,46.25,38.25,29.5,25.25,27.75,30.25,35.5,37.75,47,47.75,59.25,54.5,55.25
58.75,48,56,67.75,71,71.75,93,89,83.25,89.75,101.75,85.5,67.5,55.75,62.5,74.5,74.5,76.75,71.25,79.5,115.75,177.75,208.25,170.25
180.5,184,185.75,190.5,187.25,180.25,180.75,188.25,206.5,201.5,144.75,95,94.5,85.75,43.25,28.75,29.5,33.75,35.5,40.5,66,110.25,98.75,87
91.75,81,76,90,88.75,86.75,128,156.75,150.5,118.25,85.5,62,55,41.25,48,34.5,27,28.25,30.75,39,60.25,75.75,73,68.5
65.5,59.5,71,62.25,63.75,71.25,82.25,85.5,84.25,87.25,91.75,82,58,44.25,41.25,38.75,42,46.5,44.5,52.25,68,78.75,97.25,89.5
98.5,101,92.5,99,97.75,137,170.75,220,236.5,186,89.25,67.5,55,39.25,36.75,29.25,36.5,36.25,38.5,46,62.5,86.75,103.75,97.75
86.5,92.25,95,99.75,102,130,164.5,192.75,190,137.25,111.25,95.75,82.25,78.25,75.75,58,60.25,57.75,54.5,63,85.5,111.5,121.5,141.75
139.25,114,96,103,102.5,105.75,109,148.5,212.25,213.5,131.5,87.25,68.5,61.25,40.5,50.25,48,38,40.5,54.25,76.5,119.25,113.75,127.25
149.25,136.25,167,158.25,143.75,154,136,135.5,162.5,134.75,115.5,64.25,67.25,59.5,38,50.25,63,67.75,47.75,102.25,196.25,160.5,208.25,318.75
363.75,320.25,221,213.75,207.5,169,153,137.5,130,131.25,110.75,115.5,87.75,52.75,44.5,53,56.5,66,59,53.75,61.25,58.25,62.25,53.5
46,39.25,43,50.25,52,56.25,63.25,61.25,60.25,68,31,0,NAN,NAN,13.5,24,21.25,22,23.25,26.75,42,39,50.75,52
58.25,52.5,44.25,42.5,42.25,56.75,65.5,69,71.75,71.5,52.25,40.25,43.25,37.75,31.5,27.5,26.75,26.75,32.25,37.25,45.5,51.25,56.25,61.75
