0:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
47.87,41.12,37.68,38.81,45.38,43.75,56.91,67.47,121.56,186.3,166.07,193.71,60.33,45.25,56.6,60.03,47.07,45.34,40.16,63.99,93.09,105.56,101.8,108.41
120.7,139.29,122.07,105.02,83.24,75.52,77.94,81.47,87.03,96.3,84.97,75.94,61.58,59.47,49.48,43.44,39.16,41.61,46.58,67.53,141.89,216.71,214.47,176.59
213.52,224.49,232.95,230.69,220.06,196.23,192.25,206.37,213,220.92,222.25,195.45,141.98,74.02,64.52,71.19,64.75,60.43,87.55,125.2,145.44,205.3,209.81,274.8
200.4,202.68,200.28,236.54,228.45,223.79,228.92,214.01,219.95,296.63,271.77,170.1,81.7,83.18,106.98,66.3,63.52,60.73,71.48,101.79,123.83,166.51,190.22,165.83
177.74,203.38,266.52,258.22,208.22,182.33,180.26,216.52,278.52,337.17,223.61,149.96,146.81,142.93,154.26,153.38,168.62,154.27,163.18,189.75,244.55,218.11,200.1,231.81
239.72,199.52,181.22,180.94,177.36,231.14,232.62,223.08,235.56,347.54,247.52,202.13,151.65,129.76,134.58,155.47,156.03,181.49,206.63,208.14,210.32,211.23,232.32,248.9
260.49,213.97,174.57,165.68,186.42,170.54,221.73,241.94,231.2,205.97,165.01,157.19,144.58,100.26,127.64,112.18,49.26,0,100.29,115.95,116.91,122.57,120.63,105.56
105.12,93.47,83.14,88.76,103.38,103.94,110.9,128.67,136.31,142.33,139.8,123.33,112.95,37.81,190.03,205.9,161.92,135.57,125.01,146.85,156.45,126.49,128.81,150.5
150.26,122.28,104.68,98.89,135.51,143.57,149.43,139.7,125.97,123.69,113.02,119.52,120.5,105.41,102.79,86.19,76.75,81.47,82.38,99.54,151.25,134.54,130.62,187.76
156.37,131.76,110.54,129.51,120.3,80.79,62.86,63.14,73.39,88.58,98.72,103.62,102.15,71.88,68.42,65.52,61.14,60.64,65.08,88.39,187.6,246.48,183.22,206.67
238.53,223.04,175.26,145.41,126.75,123.47,99.68,109.49,210.33,160.81,116.29,87.66,69.93,52.33,46.53,55.72,55.99,63.32,64.28,65.45,94.3,101.28,105.88,102.49
95.78,92.36,90.31,90.53,82.67,88.3,132.67,146.1,153.59,196.93,254.41,222.13,137,NAN,NAN,94.47,87.48,109.78,109.86,129.39,137.76,137.85,234.69,231.61
210.07,231.26,196.38,230.73,176.93,176.67,171.39,150.74,86.35,71.99,69.22,71.19,57.04,58.63,52.66,31.2,37.68,55.16,49.57,67.14,72.98,62.04,61.42,78.26
91.88,104.74,129,113.83,108.48,90.84,71.81,73.35,100.4,91.82,83.14,56.48,52.41,40.62,38.38,39.73,46.55,52.79,59.55,71.6,111.4,120.36,135.44,143.78
173.28,180.19,110.66,119.47,115.14,97.75,82.02,79.76,83.66,87.73,83.32,70.37,60.38,54.7,49.01,40.57,26.7,22.21,25.57,36.35,65.37,70.41,70,69.21
59.16,54.1,57.16,67.52,66.24,75.83,97.93,122.85,141.93,115.36,71.98,43.16,32.22,30.85,24.91,25.68,26.72,29.13,38.99,60.77,99.63,133.94,138.59,155.54
